"Date","investment_tv","investment_radio","investment_press","investment_banners","investment_online","stores_opened","economy_index","investment_competition","public_holidays","brand_knowledge","christmas_dummy","weather_index","investment_competition_1","investment_competition_2","precipitation_index","competitor_recognition_1","competitor_recognition_2","YearWeek","sales"
2019-05-05,1502400.90095759,0,142201.909870688,422864.544305512,873313.819274381,142,26476.3,1711535.544,1,0.776160599,0,66.60428571,4085926.561,9702298.7,14.82857143,0.503568271,0.468484054,201919,41596653.5106783
2019-05-12,1272281.8354985,0,159435.936740433,497770.638989977,460194.540459291,142,25957.6,1732706.946,0,0.729571988,0,63.40857143,7360968.751,24130907.76,18.78571429,0.457052567,0.451410954,201920,43620960.6146687
2019-05-19,1459403.51636376,0,251745.620168842,481549.327078575,655858.494111363,142,25898.3,3557559.4,0,0.761736198,0,63.15857143,6706784.848,9124043.797,49.95714286,0.428337893,0.4683968,201921,43267710.1409937
2019-05-26,1429413.11181185,0,0,325526.970559433,383260.514870098,142,25717.6,6741548.048,0,0.76971516,0,58.19714286,5475579.322,17260519.11,25.82857143,0.500425059,0.364826612,201922,42573894.7527013
2019-06-02,43307.8912368366,0,158567.077997398,4970.70919725555,417451.433567834,142,26072.8,7396838.703,0,0.748647563,0,48.59142857,9890654.559,8313329.262,37.31428571,0.522228034,0.438049861,201923,44448046.3090617
2019-06-09,54806.928782931,0,0,4844.09835876868,520220.446999716,142,26248.7,6913911.566,0,0.778340419,0,50.28428571,6596423.618,14837005.16,58.08571429,0.531822519,0.449874011,201924,44228773.8001759
2019-06-16,43864.8646934823,0,71346.5421882696,4400.91627335329,561984.297807443,142,26907.4,8350574.551,0,0.699966537,0,50.40571429,8182020.559,6443372.54,42.1,0.501674975,0.486218812,201925,43208986.6738477
2019-06-23,32515.3322133431,0,38710.508540082,4938.79965783724,460882.3974635,142,26806.5,1395172.075,0,0.77534569,0,23.82571429,6645946.935,15274112.19,4.671428571,0.517919225,0.524371044,201926,45262218.417548
2019-06-30,32343.8370103541,0,0,192640.526163874,329325.100572223,142,26966,1274589.904,2,0.759420658,0,41.69714286,17415580.75,3470871.733,17.44285714,0.531643115,0.560282247,201927,40157932.8545794
2019-07-07,30568.7581242151,0,0,188851.882098816,474354.666886694,142,27333.8,5270523.697,0,0.725820985,0,57.53285714,16228149.47,10381486.07,22.37142857,0.504280981,0.458308147,201928,43591357.992881
2019-07-14,13238.7643874139,0,143852.888066643,181956.807932163,699375.308485777,142,27398.7,4897768.622,0,0.79466361,0,46.83285714,13510580.51,3983499.168,22.31428571,0.540927724,0.493561369,201929,45617368.0384113
2019-07-21,0,0,0,185912.020600534,441293.667345982,142,27368.8,5161813.764,0,0.802997593,0,35.65571429,9721517.711,9055383.612,16.01428571,0.498832733,0.432419114,201930,45961848.0099617
2019-07-28,0,0,0,0,470154.645894379,142,27281.7,6272586,0,0.810489079,0,53.96714286,14789850.47,2762040.776,38.5,0.523191496,0.423132431,201931,42583895.0831519
